Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
Noid,"Tyler, The Creator",3,spotify:track:1YdtGoSYDvVQKoUqSDXX41,Columbia,2,3,1,1,2,1,1,1,0,1
סלינה,Peer Tasi,1,spotify:track:3piVfvEpcO5TXO1qn55NtX,Peer Tasi LTD under exclusive license to D-Music,2,1,1,1,2,1,1,1,0,0
קחי לך זמן,יציאת חירום,2,spotify:track:4jurtysyzLBMr64w1uYIau,2014 Way Not Productions By PIL LTD,0,0,1,1,2,1,1,1,0,0
להאמין,"Doli & Penn, Idan Raichel",1,spotify:track:3HkHwuHaOn1F9vEZxIEqCw,Dolev Ram & Penn Hazut / Helicon Ltd. under exclusive license to D-Music,1,3,1,1,2,1,1,1,0,0
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",1,spotify:track:5496lks6V3fh1mZAB6IAap,Twisted Elegance,1,1,1,1,1,1,1,1,0,1
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",1,spotify:track:42VsgItocQwOQC3XWZ8JNA,Cactus Jack/Epic,2,1,1,1,1,1,1,1,0,1
Rah Tah Tah,"Tyler, The Creator",3,spotify:track:5RePVWy39tLpHH0WwXgBsK,Columbia,1,3,1,1,1,1,1,1,0,1
פרנציפ,"Static, Ness, STILLA",2,spotify:track:4paVKldW1YeVqHdpFomk2O,Mobile1 Music,1,1,1,1,1,1,1,1,0,0
NEW DROP,Don Toliver,1,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,Cactus Jack / Atlantic,0,3,1,1,1,1,1,1,0,1
Night Changes,One Direction,2,spotify:track:5O2P9iiztwhomNh8xkR9lJ,Syco Music,0,2,1,1,1,1,1,1,0,1
Creep,Radiohead,0,spotify:track:70LcF31zb1H0PyJoS1Sx1r,XL Recordings,0,3,1,1,0,1,1,1,0,1
Story of My Life,One Direction,2,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,Syco Music,0,2,1,1,0,1,1,1,0,1
שמלה כחולה,Liran Danino,0,spotify:track:4jF2KwFgnuwvAk1rHbCBx7,A.M Music Productions LTD,0,3,1,1,0,1,1,1,0,0
Disease,Liran Danino,0,spotify:track:4jF2KwFgnuwvAk1rHbCBx7,A.M Music Productions LTD,0,3,1,1,2,1,1,1,0,1
Wonderwall - Remastered,Oasis,2,spotify:track:5qqabIl2vWzo9ApSC317sa,Big Brother,0,0,1,1,2,1,1,1,0,1
סהרה,Tuna,1,spotify:track:3uidHx3If1PWAOCMcCdkNH,NaNa Disc,3,3,2,1,1,1,1,1,0,0
תרקדי (7.10.23),Tuna,1,spotify:track:3uidHx3If1PWAOCMcCdkNH,NaNa Disc,3,3,2,1,1,1,1,1,0,0
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Tuna,1,spotify:track:3uidHx3If1PWAOCMcCdkNH,NaNa Disc,3,3,2,1,1,1,1,1,0,1
חייזרית,Peer Tasi,1,spotify:track:6gDb8gPgdv49sJJ0VpqEMp,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,0
Sparks,Peer Tasi,1,spotify:track:6gDb8gPgdv49sJJ0VpqEMp,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,1
The Door,Peer Tasi,1,spotify:track:6gDb8gPgdv49sJJ0VpqEMp,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,1
אקורדים בלילות,Peer Tasi,1,spotify:track:6gDb8gPgdv49sJJ0VpqEMp,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,0
מכה אפורה,Peer Tasi,1,spotify:track:6gDb8gPgdv49sJJ0VpqEMp,Peer Tasi LTD under exclusive license to D-Music,1,1,1,1,1,1,1,1,0,0
Why'd You Only Call Me When You're High?,Arctic Monkeys,0,spotify:track:086myS9r57YsLbJpU0TgK9,Domino Recording Co,1,3,2,1,0,1,1,1,0,1
רק הזמן,Jasmin Moallem,3,spotify:track:1KMT5j1608afIjko14UBNP,Helicon Music,1,2,1,1,2,1,1,1,0,0
לחזור הביתה,Jasmin Moallem,3,spotify:track:1KMT5j1608afIjko14UBNP,Helicon Music,1,2,1,1,2,1,1,1,0,0
עם ישראל חי,Eyal Golan,0,spotify:track:31HDrKLG70d8SY6UU4sl9l,Liam Productions under exclusive license to D-Music,3,3,1,1,1,1,1,1,0,0
דרבק,Moni,0,spotify:track:4uL9uKOOrtjuAoXLaeDyoa,Rad Star Management,1,0,1,1,1,1,1,1,0,0
גדל לי קצת זקן,Moni,0,spotify:track:4uL9uKOOrtjuAoXLaeDyoa,Rad Star Management,1,0,1,1,1,1,1,1,0,0
עיר נמל,Eyal Golan,0,spotify:track:0tz3QCsEBQDsXGqden3NEI,Liam Productions under exclusive license to D-Music,3,0,1,1,1,1,1,1,0,0
אפס מאמץ,"Static & Ben El, Netta",1,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,Mobile1 Music,3,1,2,1,1,1,1,1,0,0
Don't Stop Me Now - Remastered 2011,"Static & Ben El, Netta",1,spotify:track:2liUMhNvpAxRNVAGnz8jNJ,Mobile1 Music,3,1,2,1,0,1,1,1,0,1
דבש ותפוח,Tomer Yosef,1,spotify:track:5fFNw4YX4N8sR1CFzbPTDW,NaNa Disc,1,0,2,1,0,1,1,1,0,0
Gata Only,"FloyyMenor, Cris Mj",0,spotify:track:2esZG2XFtuoWWA9AfDvSxy,FloyyMenor under exclusive license to UnitedMasters LLC,2,0,1,1,0,1,1,1,0,1
As It Was,"FloyyMenor, Cris Mj",0,spotify:track:2esZG2XFtuoWWA9AfDvSxy,FloyyMenor under exclusive license to UnitedMasters LLC,2,0,1,1,0,1,1,1,0,1
BA DA BING,Noa Kirel,2,spotify:track:0WAMFZu9JKJ4HN3dzzPUgI,Noa Kirel Music LCC,1,2,1,1,2,1,1,1,0,1
הלב שלי,Ishay Ribo,1,spotify:track:7Ck421SAROdN0Q6RXMbic7,2019 Ishay Ribo BY PIL LTD,3,0,2,1,2,1,1,1,0,0
סדר העבודה,Ishay Ribo,1,spotify:track:7Ck421SAROdN0Q6RXMbic7,2019 Ishay Ribo BY PIL LTD,3,0,2,1,1,1,1,1,0,0
יהי רצון,Ishay Ribo,0,spotify:track:4ERPLdXEg2WqLoKNKnV7Vi,2024 Ishay Ribo | Or Davidson by PIL ltd,0,3,1,1,1,1,1,1,0,0
Guess featuring billie eilish,"Charli xcx, Billie Eilish",1,spotify:track:3WOhcATHxK2SLNeP5W3v1v,Atlantic Records,2,1,1,1,1,1,1,1,0,1
